id,Planet,Diameter,Density,Gravity,Rotation period,Length of day,Distance from sun,Orbital period,Orbital velocity,Orbital inclination,Mean temperature,Number of moons,Has ring system,Has global magnetic field
1,Mercury,4879,5427,3.7,1407.6,4222.6,57.9,88,47.4,7,167,0,No,Yes
2,Venus,12104,5243,8.9,-5832.5,2802,108.2,224.7,35,3.4,464,0,No,No
3,Earth,12756,5514,9.8,23.9,24,149.6,365.2,29.8,0,15,1,No,Yes
4,Mars,6792,3933,3.7,24.6,24.7,227.9,687,24.1,1.9,-65,2,No,No
5,Jupiter,142984,1326,23.1,9.9,9.9,778.6,4331,13.1,1.3,-110,79,Yes,Yes
6,Saturn,120536,687,9,10.7,10.7,1433.5,10747,9.7,2.5,-140,62,Yes,Yes
7,Uranus,51118,1271,8.7,-17.2,17.2,2872.5,30589,6.8,0.8,-195,27,Yes,Yes
8,Neptune,49528,1638,11,16.1,16.1,4495.1,59800,5.4,1.8,-200,14,Yes,Yes
9,Pluto,2370,2095,0.7,-153.3,153.3,5906.4,90560,4.7,17.2,-225,5,No,Unknown
